iter	Logloss
0	0.6890208878
1	0.6853004746
2	0.681652664
3	0.6787610786
4	0.6757302329
5	0.673001267
6	0.6705549779
7	0.6683935755
8	0.6661812985
9	0.6642192904
10	0.662650231
11	0.6610541297
12	0.6599343125
13	0.6586739196
14	0.657352972
15	0.6563469515
16	0.6553850188
17	0.6546757223
18	0.6537357808
19	0.6530596816
20	0.6524177267
21	0.6517749827
22	0.6512744977
23	0.6507120375
24	0.6502015566
25	0.6496974415
26	0.6491985349
27	0.6486123999
28	0.6482117174
29	0.6478188738
30	0.6473967787
31	0.647002883
32	0.6465551665
33	0.6461998869
34	0.6458702813
35	0.6454846454
36	0.6451719279
37	0.6448696272
38	0.6446046801
39	0.6444159657
40	0.6441604885
41	0.6438743919
42	0.6436356975
43	0.6434196256
44	0.6432260711
45	0.6429244018
46	0.6427693583
47	0.6425667021
48	0.6422897598
49	0.6420636393
50	0.6418337835
51	0.6416155546
52	0.6414839228
53	0.6412836867
54	0.6410664048
55	0.6408683784
56	0.6406028526
57	0.6404067201
58	0.6403210174
59	0.6402159014
60	0.6400113513
61	0.6397512969
62	0.6395161274
63	0.6392992138
64	0.639196097
65	0.639005436
66	0.6388167743
67	0.6386274813
68	0.6384040439
69	0.6382474747
70	0.6380269836
71	0.6379105036
72	0.6377558284
73	0.6375285505
74	0.6374133332
75	0.6372196735
76	0.6369887128
77	0.6367739036
78	0.6366353272
79	0.6364545045
80	0.6362334872
81	0.6361637255
82	0.6359986334
83	0.6357610438
84	0.635543341
85	0.6354049224
86	0.6352918622
87	0.6352829184
88	0.6351832739
89	0.6350133415
90	0.6348726607
91	0.6346311253
92	0.6343583392
93	0.6341771482
94	0.6340467791
95	0.6339616024
96	0.6337190674
97	0.6336192651
98	0.6334765851
99	0.6332990242
100	0.6331522931
101	0.6329986701
102	0.6328863464
103	0.6327013148
104	0.632531856
105	0.6323515594
106	0.6322122464
107	0.6320540463
108	0.6318928999
109	0.6317795766
110	0.6315810241
111	0.6314695422
112	0.6311642953
113	0.6309676894
114	0.6307721883
115	0.6306528674
116	0.6305127127
117	0.6303012179
118	0.6301339688
119	0.629925315
120	0.6298054154
121	0.6296843057
122	0.6295427305
123	0.6293773227
124	0.6291875035
125	0.629047191
126	0.6289089829
127	0.6287337369
128	0.6285913725
129	0.6284204932
130	0.628292965
131	0.6281330287
132	0.6279550996
133	0.6278089998
134	0.6276352796
135	0.6275202201
136	0.6274219435
137	0.6273027804
138	0.6271761466
139	0.6269398723
140	0.6267656785
141	0.6266253133
142	0.6265558673
143	0.6264329162
144	0.6262259986
145	0.626092052
146	0.6259011806
147	0.6256374961
148	0.6253691819
149	0.6251988813
150	0.6250800865
151	0.6249923846
152	0.6248198217
153	0.6247039731
154	0.6245474039
155	0.624327281
156	0.6242173248
157	0.6240433941
158	0.6239168129
159	0.6237959137
160	0.6236348199
161	0.6234452112
162	0.6232460274
163	0.6231090293
164	0.6229562481
165	0.6228147255
166	0.6226265899
167	0.6224078349
168	0.6222536857
169	0.6221053237
170	0.6219478075
171	0.6217416265
172	0.6214856231
173	0.6212739706
174	0.621100566
175	0.6210334874
176	0.6208227292
177	0.6206738938
178	0.6205656737
179	0.6203511275
180	0.6202370677
181	0.620080025
182	0.6198591129
183	0.619671293
184	0.6195987429
185	0.6195448697
186	0.619407135
187	0.6193002302
188	0.6191952194
189	0.6189313245
190	0.6188013763
191	0.6186835284
192	0.6184674566
193	0.6182545414
194	0.6180202662
195	0.617855595
196	0.617562659
197	0.6174181376
198	0.6172288446
199	0.617012194
200	0.6167885988
201	0.6166255059
202	0.6164832467
203	0.6162908497
204	0.6160206941
205	0.6158943233
206	0.6157555365
207	0.6156194854
208	0.6154038871
209	0.6152382162
210	0.6150515537
211	0.614918291
212	0.6146579736
213	0.6145384422
214	0.6143646167
215	0.6141812687
216	0.6140440075
217	0.6138813881
218	0.6137507559
219	0.6134757075
220	0.6133831654
221	0.6131033295
222	0.6128838379
223	0.6127504174
224	0.6125046205
225	0.6123249552
226	0.6121021492
227	0.6119183277
228	0.6117210378
229	0.6115448974
230	0.6114342047
231	0.6112394927
232	0.6109404539
233	0.6108085591
234	0.6106428356
235	0.6104678526
236	0.610232157
237	0.6100572793
238	0.6098052744
239	0.6095306469
240	0.6093594519
241	0.6091426961
242	0.6089437753
243	0.6086700948
244	0.6084418699
245	0.6082045434
246	0.6079659016
247	0.6077115818
248	0.6075363358
249	0.6071563818
250	0.6069754539
251	0.6067887388
252	0.6065393118
253	0.6063101925
254	0.6061535706
255	0.6058402217
256	0.6056144169
257	0.6052743418
258	0.6051358706
259	0.6049946111
260	0.6048140514
261	0.6046439613
262	0.6043901676
263	0.6042086609
264	0.6040582997
265	0.603860589
266	0.6036516196
267	0.6034018243
268	0.6030754806
269	0.6028729823
270	0.6026595936
271	0.6024003284
272	0.6021763649
273	0.6018130885
274	0.6015687648
275	0.6013919931
276	0.6011620846
277	0.6008956118
278	0.6007068975
279	0.6004841441
280	0.6001630614
281	0.5998917484
282	0.5996679954
283	0.5994108346
284	0.5991820836
285	0.5989173995
286	0.598744521
287	0.5984848349
288	0.5981992644
289	0.5980440105
290	0.5977174563
291	0.5976386456
292	0.5974354107
293	0.5972186549
294	0.5969640195
295	0.5967664666
296	0.5965325597
297	0.596346739
298	0.5961359808
299	0.5960022446
